Block size 	   Merge sort time 	   Quick sort time 
  26400 	       0.002938 	      0.002406 
  26500 	       0.002953 	      0.002413 
  26600 	       0.002933 	      0.002423 
  26700 	       0.002963 	      0.002390 
  26800 	       0.002971 	      0.002438 
  26900 	       0.002947 	      0.002529 
  27000 	       0.002992 	      0.002425 
  27100 	       0.002979 	      0.002505 
  27200 	       0.003070 	      0.002469 
  27300 	       0.002993 	      0.002497 
  27400 	       0.003018 	      0.002426 
  27500 	       0.003014 	      0.002495 
  27600 	       0.003024 	      0.002493 
  27700 	       0.003037 	      0.002537 
  27800 	       0.003045 	      0.002550 
  27900 	       0.003061 	      0.002487 
  28000 	       0.003087 	      0.002580 
  28100 	       0.003092 	      0.002554 
  28200 	       0.003254 	      0.002679 
  28300 	       0.003311 	      0.002597 
  28400 	       0.003175 	      0.002518 
  28500 	       0.003162 	      0.002576 
  28600 	       0.003197 	      0.002595 
  28700 	       0.003215 	      0.002631 
  28800 	       0.003250 	      0.002565 
  28900 	       0.003239 	      0.002613 
  29000 	       0.003266 	      0.002620 
  29100 	       0.003247 	      0.002587 
  29200 	       0.003304 	      0.002607 
  29300 	       0.003269 	      0.002663 
  29400 	       0.003379 	      0.002747 
  29500 	       0.003360 	      0.002748 
  29600 	       0.003503 	      0.002726 
  29700 	       0.003296 	      0.002712 
  29800 	       0.003456 	      0.002774 
  29900 	       0.003382 	      0.002739 
  30000 	       0.003412 	      0.002760 
  30100 	       0.003376 	      0.002811 
  30200 	       0.003398 	      0.002738 
  30300 	       0.003424 	      0.002828 
  30400 	       0.003436 	      0.002793 
  30500 	       0.003522 	      0.002814 
  30600 	       0.003438 	      0.002751 
  30700 	       0.003477 	      0.002776 
  30800 	       0.003506 	      0.002740 
  30900 	       0.003463 	      0.002875 
  31000 	       0.003459 	      0.002888 
  31100 	       0.003465 	      0.002829 
  31200 	       0.003541 	      0.002877 
  31300 	       0.003501 	      0.002774 
  31400 	       0.003572 	      0.002819 
  31500 	       0.003501 	      0.002836 
  31600 	       0.003606 	      0.002845 
  31700 	       0.003540 	      0.002963 
  31800 	       0.003603 	      0.002932 
  31900 	       0.003573 	      0.002907 
  32000 	       0.003616 	      0.002913 
  32100 	       0.003595 	      0.002904 
  32200 	       0.003580 	      0.002951 
  32300 	       0.003587 	      0.003108 
  32400 	       0.003585 	      0.003030 
  32500 	       0.003648 	      0.002888 
  32600 	       0.003634 	      0.002965 
  32700 	       0.003622 	      0.002979 
  32800 	       0.003646 	      0.002969 
  32900 	       0.003653 	      0.002994 
  33000 	       0.003722 	      0.002952 
  33100 	       0.003731 	      0.002982 
  33200 	       0.003703 	      0.002994 
  33300 	       0.003716 	      0.003091 
  33400 	       0.003757 	      0.003048 
  33500 	       0.003796 	      0.003091 
  33600 	       0.003824 	      0.003038 
  33700 	       0.003780 	      0.003091 
  33800 	       0.003801 	      0.003169 
  33900 	       0.003849 	      0.003039 
  34000 	       0.003867 	      0.003076 
  34100 	       0.003825 	      0.003115 
  34200 	       0.003841 	      0.003149 
  34300 	       0.003905 	      0.003139 
  34400 	       0.003901 	      0.003122 
  34500 	       0.003951 	      0.003152 
  34600 	       0.003903 	      0.003303 
  34700 	       0.003924 	      0.003160 
  34800 	       0.003965 	      0.003181 
  34900 	       0.003960 	      0.003319 
  35000 	       0.003976 	      0.003155 
  35100 	       0.004107 	      0.003231 
  35200 	       0.003978 	      0.003260 
  35300 	       0.004033 	      0.003274 
  35400 	       0.004164 	      0.003262 
  35500 	       0.004080 	      0.003331 
  35600 	       0.004068 	      0.003319 
  35700 	       0.004150 	      0.003403 
  35800 	       0.004079 	      0.003332 
  35900 	       0.004098 	      0.003293 
  36000 	       0.004141 	      0.003304 
  36100 	       0.004063 	      0.003337 
  36200 	       0.004108 	      0.003325 
  36300 	       0.004086 	      0.003305 
  36400 	       0.004092 	      0.003323 
  36500 	       0.004115 	      0.003345 
  36600 	       0.004126 	      0.003398 
  36700 	       0.004126 	      0.003440 
  36800 	       0.004128 	      0.003372 
  36900 	       0.004148 	      0.003448 
  37000 	       0.004165 	      0.003380 
  37100 	       0.004181 	      0.003322 
  37200 	       0.004210 	      0.003381 
  37300 	       0.004215 	      0.003455 
  37400 	       0.004267 	      0.003433 
  37500 	       0.004250 	      0.003450 
  37600 	       0.004328 	      0.003502 
  37700 	       0.004341 	      0.003524 
  37800 	       0.004360 	      0.003561 
  37900 	       0.004375 	      0.003556 
  38000 	       0.004398 	      0.003629 
  38100 	       0.004397 	      0.003548 
  38200 	       0.004417 	      0.003558 
  38300 	       0.004436 	      0.003569 
  38400 	       0.004367 	      0.003478 
  38500 	       0.004374 	      0.003547 
  38600 	       0.004385 	      0.003532 
  38700 	       0.004405 	      0.003569 
  38800 	       0.004413 	      0.003542 
  38900 	       0.004426 	      0.003573 
  39000 	       0.004437 	      0.003543 
  39100 	       0.004451 	      0.003589 
  39200 	       0.004461 	      0.003692 
  39300 	       0.004509 	      0.003580 
  39400 	       0.004506 	      0.003593 
  39500 	       0.004510 	      0.003601 
  39600 	       0.004524 	      0.003656 
  39700 	       0.004543 	      0.003721 
  39800 	       0.004547 	      0.003696 
  39900 	       0.004551 	      0.003679 
  40000 	       0.004545 	      0.003706 
  40100 	       0.004589 	      0.003734 
  40200 	       0.004585 	      0.003760 
  40300 	       0.004625 	      0.003749 
  40400 	       0.004612 	      0.003681 
  40500 	       0.004590 	      0.003681 
  40600 	       0.004606 	      0.003705 
  40700 	       0.004607 	      0.003723 
  40800 	       0.004619 	      0.003798 
  40900 	       0.004629 	      0.003867 
  41000 	       0.004668 	      0.003778 
  41100 	       0.004667 	      0.003837 
  41200 	       0.004780 	      0.003924 
  41300 	       0.004787 	      0.003853 
  41400 	       0.004808 	      0.003903 
  41500 	       0.004811 	      0.003874 
  41600 	       0.004825 	      0.003844 
  41700 	       0.004876 	      0.003915 
  41800 	       0.004866 	      0.003893 
  41900 	       0.004777 	      0.003882 
  42000 	       0.004790 	      0.003847 
  42100 	       0.004796 	      0.003915 
  42200 	       0.004820 	      0.003924 
  42300 	       0.004836 	      0.003926 
  42400 	       0.004841 	      0.003947 
  42500 	       0.004852 	      0.003872 
  42600 	       0.004864 	      0.003872 
  42700 	       0.004885 	      0.004046 
  42800 	       0.004900 	      0.003997 
  42900 	       0.005037 	      0.004057 
  43000 	       0.005048 	      0.004027 
  43100 	       0.005058 	      0.004105 
  43200 	       0.004959 	      0.004018 
  43300 	       0.004986 	      0.004043 
  43400 	       0.004986 	      0.004054 
  43500 	       0.005093 	      0.004141 
